index,y_hat,labels,y_hat_1,labels_1,y_hat_2,labels_2,y_hat_3,labels_3,y,anomalies,y_hat_6
2022-12-06 08:00:00,18573.923873044863,0,20879.69972817897,0,20879.69972817897,0,20879.69972817897,0,19699.959950647342,0,20879.69972817897
2022-12-06 09:00:00,19357.17716226385,0,21662.95301739796,0,21662.95301739796,0,21662.95301739796,0,20483.21323986633,0,21662.95301739796
2022-12-06 10:00:00,19802.884808294402,0,22108.66066342851,0,22108.66066342851,0,22108.66066342851,0,20928.92088589688,0,22108.66066342851
2022-12-06 11:00:00,20291.842598016945,0,22597.61845315105,0,22597.61845315105,0,22597.61845315105,0,21417.878675619424,0,22597.61845315105
2022-12-06 12:00:00,21127.040142876238,0,23432.815998010345,0,23432.815998010345,0,23432.815998010345,0,22253.076220478717,0,23432.815998010345
2022-12-06 13:00:00,22255.433846311527,0,24561.209701445634,0,24561.209701445634,0,24561.209701445634,0,23381.469923914006,0,24561.209701445634
2022-12-06 14:00:00,23226.139840293083,0,25531.91569542719,0,25531.91569542719,0,25531.91569542719,0,24352.17591789556,0,25531.91569542719
2022-12-06 15:00:00,23912.856247418098,0,26218.632102552205,0,26218.632102552205,0,26218.632102552205,0,25038.892325020577,0,26218.632102552205
2022-12-06 16:00:00,24060.73413978128,0,26366.50999491539,0,26366.50999491539,0,26366.50999491539,0,25186.77021738376,0,26366.50999491539
2022-12-06 17:00:00,23931.00787561122,0,26236.783730745326,0,26236.783730745326,0,26236.783730745326,0,25057.0439532137,0,26236.783730745326
2022-12-06 18:00:00,23138.203005471183,0,25443.97886060529,0,25443.97886060529,0,25443.97886060529,0,24264.239083073662,0,25443.97886060529
2022-12-06 19:00:00,21321.19208636621,0,23626.967941500316,0,23626.967941500316,0,23626.967941500316,0,22447.228163968688,0,23626.967941500316
2022-12-06 20:00:00,19095.25747919009,0,21401.0333343242,0,21401.0333343242,0,21401.0333343242,0,20221.29355679257,0,21401.0333343242
2022-12-06 21:00:00,18539.264759663558,0,20845.040614797665,0,20845.040614797665,0,20845.040614797665,0,19665.300837266037,0,20845.040614797665
2022-12-06 22:00:00,19217.97408185498,0,21523.749936989087,0,21523.749936989087,0,21523.749936989087,0,20344.01015945746,0,21523.749936989087
2022-12-06 23:00:00,20001.576486684964,0,22307.35234181907,0,22307.35234181907,0,22307.35234181907,0,21127.612564287443,0,22307.35234181907
2022-12-07 00:00:00,19894.289843632876,0,22200.065698766983,0,22200.065698766983,0,22200.065698766983,0,21020.325921235355,0,22200.065698766983
2022-12-07 01:00:00,21177.56736068489,0,23483.343215818997,0,23483.343215818997,0,23483.343215818997,0,22303.60343828737,0,23483.343215818997
2022-12-07 02:00:00,21420.20938938218,0,23725.985244516287,0,23725.985244516287,0,23725.985244516287,0,22546.24546698466,0,23725.985244516287
2022-12-07 03:00:00,21453.9455147831,0,23759.721369917206,0,23759.721369917206,0,23759.721369917206,0,22579.98159238558,0,23759.721369917206
2022-12-07 04:00:00,21308.9767948784,0,23614.752650012506,0,23614.752650012506,0,23614.752650012506,0,22435.01287248088,0,23614.752650012506
